Job Title,Algeria Count,Standardized Percentage Algeria,Bahrain Count,Standardized Percentage Bahrain,Djibouti Count,Standardized Percentage Djibouti,Egypt Count,Standardized Percentage Egypt,Iraq Count,Standardized Percentage Iraq,Jordan Count,Standardized Percentage Jordan,Kuwait Count,Standardized Percentage Kuwait,Lebanon Count,Standardized Percentage Lebanon,Libya Count,Standardized Percentage Libya,Mauritania Count,Standardized Percentage Mauritania,Morocco Count,Standardized Percentage Morocco,Oman Count,Standardized Percentage Oman,Palestine Count,Standardized Percentage Palestine,Qatar Count,Standardized Percentage Qatar,Saudi Arabia Count,Standardized Percentage Saudi Arabia,Somalia Count,Standardized Percentage Somalia,Sudan Count,Standardized Percentage Sudan,Syria Count,Standardized Percentage Syria,Tunisia Count,Standardized Percentage Tunisia,United Arab Emirates Count,Standardized Percentage United Arab Emirates,Yemen Count,Standardized Percentage Yemen,US Count,Standardized Percentage US
production supervisor,121,0.29702727,136,0.13502512,,,841,0.23763238,81,0.15730904,86,0.10075921,382,0.07818384,651,0.42076008,9,0.11520737,1,0.0907441,242,0.28281931,,,9,0.07946318,418,0.13343804,856,0.15491586,52,0.21765518,23,0.15428993,19,0.30984997,615,0.67559403,1979,0.17089928,4,0.04002001,592,0.17089576
brand manager,118,0.28966296,116,0.11516848,,,870,0.2458266,51,0.09904644,69,0.08084169,469,0.09599011,478,0.30894519,3,0.03840246,1,0.0907441,148,0.17296388,,,1,0.00882924,330,0.10534582,821,0.14858169,20,0.08371353,20,0.13416516,14,0.2283105,123,0.13511881,3523,0.30423354,3,0.03001501,892,0.25749834
marketing assistant,118,0.28966296,159,0.15786025,,,570,0.16105881,45,0.08739391,218,0.25541288,768,0.15718636,441,0.28503102,13,0.16641065,,,228,0.26645786,,,17,0.15009712,379,0.12098808,631,0.11419616,35,0.14649868,24,0.16099819,9,0.14677104,416,0.45698718,2013,0.1738354,8,0.08004002,366,0.10565515
financial manager,116,0.28475342,327,0.32465598,,,2088,0.58998384,208,0.40395409,394,0.46161777,841,0.17212726,458,0.29601861,33,0.42242704,4,0.36297641,166,0.19400002,,,36,0.31785273,926,0.29560676,2241,0.40556828,111,0.4646101,160,1.07332126,52,0.84801044,372,0.408652,5206,0.44957133,55,0.55027514,832,0.24017782
customer service representative,114,0.27984388,292,0.28990687,,,5239,1.48032822,200,0.38841739,415,0.48622176,1441,0.2949291,1408,0.91003102,24,0.30721966,3,0.2722323,484,0.56563862,,,30,0.26487727,788,0.25155305,1897,0.34331238,103,0.43112469,34,0.22808077,26,0.42400522,510,0.56024871,7355,0.63515119,27,0.27013507,2281,0.65846829
software analyst,113,0.27738911,254,0.25217927,,,1235,0.34896075,37,0.07185722,340,0.39835036,1525,0.31212136,421,0.27210445,14,0.17921147,2,0.1814882,474,0.55395187,,,17,0.15009712,477,0.1522726,917,0.16595543,26,0.10882759,25,0.16770645,4,0.06523157,515,0.56574134,1276,0.11019074,20,0.20010005,2476,0.71475997
electrical engineer,113,0.27738911,424,0.42096066,,,2297,0.64903873,302,0.58651026,164,0.19214547,2299,0.47053574,830,0.53645295,19,0.24321557,12,1.08892922,75,0.08765061,,,26,0.2295603,3320,1.05984281,5448,0.98595984,93,0.38926793,20,0.13416516,30,0.48923679,90,0.09886742,6967,0.60164492,28,0.28014007,1454,0.41973384
medical sales representative,113,0.27738911,111,0.11020432,,,1711,0.48345898,119,0.23110835,100,0.11716187,711,0.14552019,916,0.59203723,63,0.80645161,,,103,0.12037351,,,24,0.21190182,334,0.10662274,806,0.14586704,13,0.0544138,12,0.08049909,6,0.09784736,80,0.08788215,1190,0.1027641,6,0.06003002,777,0.22430068
application engineer,110,0.27002479,292,0.28990687,,,2290,0.64706082,86,0.16701948,275,0.32219514,467,0.09558077,367,0.23720269,7,0.08960573,5,0.45372051,196,0.22906027,,,40,0.3531697,926,0.29560676,1537,0.27816084,27,0.11301327,80,0.53666063,11,0.17938682,195,0.21421274,2963,0.25587396,3,0.03001501,2882,0.83196213
trade regional manager,110,0.27002479,108,0.10722583,,,588,0.16614487,102,0.19809287,131,0.15348205,225,0.04605069,132,0.08531541,6,0.07680492,,,202,0.23607232,,,4,0.03531697,212,0.06767671,1320,0.23888895,30,0.1255703,36,0.24149728,17,0.27723418,331,0.3636124,2168,0.18722064,9,0.09004502,941,0.27164343
pharmaceutical quality specialist,110,0.27002479,5,0.00496416,,,306,0.08646315,12,0.02330504,35,0.04100665,37,0.00757278,28,0.01809721,,,1,0.0907441,74,0.08648194,,,,,20,0.0063846,207,0.03746213,4,0.01674271,,,1,0.01630789,78,0.0856851,121,0.01044912,3,0.03001501,101,0.0291562
supply chain manager,106,0.26020571,64,0.06354123,,,954,0.26956158,64,0.12429357,105,0.12301996,347,0.0710204,222,0.14348501,3,0.03840246,2,0.1814882,215,0.25126509,,,7,0.0618047,255,0.08140359,1418,0.25662464,50,0.20928383,70,0.46957805,26,0.42400522,270,0.29660226,1320,0.11399042,34,0.34017009,556,0.16050345
marketing consultant,106,0.26020571,257,0.25515776,,,1604,0.45322513,115,0.22334,195,0.22846565,556,0.11379638,643,0.41558945,11,0.14080901,,,163,0.190494,,,9,0.07946318,451,0.14397262,1411,0.25535781,26,0.10882759,26,0.1744147,15,0.2446184,151,0.16587756,1983,0.17124471,19,0.19009505,685,0.19774256
defence administration officer,105,0.25775094,48,0.04765592,,,136,0.03842807,127,0.24664504,132,0.15465367,214,0.04379933,128,0.08273009,11,0.14080901,15,1.36116152,88,0.10284339,,,3,0.02648773,150,0.04788446,240,0.04343435,59,0.24695492,68,0.45616153,8,0.13046314,86,0.09447331,617,0.05328189,22,0.22011006,128,0.03695043
law lecturer,104,0.25529617,6,0.00595699,,,33,0.00932446,19,0.03689965,15,0.01757428,22,0.00450273,7,0.0045243,,,,,76,0.08881929,,,2,0.01765848,24,0.00766151,209,0.03782408,5,0.02092838,,,2,0.03261579,31,0.03405433,163,0.01407609,,,11,0.00317543
web developer,104,0.25529617,164,0.16282441,,,1645,0.46481006,37,0.07185722,219,0.2565845,1351,0.27650883,933,0.60302482,14,0.17921147,2,0.1814882,246,0.28749401,,,21,0.18541409,433,0.13822649,699,0.12650256,48,0.20091248,58,0.38907896,23,0.37508154,810,0.88980677,4672,0.40345702,17,0.17008504,492,0.14202823
