skill,title,count,standardized count
PHP (Scripting Language),web developer,8,0.00012597631645250694
Sales,import export specialist,8,0.00012597631645250694
Communications,bartender,8,0.00012597631645250694
Self-Motivation,recruitment consultant,8,0.00012597631645250694
Detail Oriented,financial controller,8,0.00012597631645250694
Management,service manager,8,0.00012597631645250694
Civil Engineering,project manager,8,0.00012597631645250694
Human Resource Management,human resources officer,8,0.00012597631645250694
Sales Prospecting,recruitment consultant,8,0.00012597631645250694
External Auditing,quality engineer,8,0.00012597631645250694
Problem Solving,data analyst,8,0.00012597631645250694
Negotiation,financial manager,8,0.00012597631645250694
Operations,supply chain manager,8,0.00012597631645250694
Human Resource Management,humanitarian advisor,8,0.00012597631645250694
Communications,business intelligence manager,8,0.00012597631645250694
Marketing,business manager,8,0.00012597631645250694
Management,strategic planning manager,8,0.00012597631645250694
Problem Solving,human resources manager,8,0.00012597631645250694
Content Creation,digital marketing manager,8,0.00012597631645250694
Problem Solving,logistics and distribution manager,8,0.00012597631645250694
