skill,title,count,standardized count
Operations,operations manager,16,0.0002118812405646635
Computer Literacy,monitoring and evaluation officer,16,0.0002118812405646635
Month-End Closing,accountant,16,0.0002118812405646635
Knowledge Management,monitoring and evaluation officer,16,0.0002118812405646635
Tool Dies,production engineer,16,0.0002118812405646635
Microsoft PowerPoint,accounting assistant,16,0.0002118812405646635
Financial Policy,accounting assistant,16,0.0002118812405646635
ISO 14000 Series,production engineer,16,0.0002118812405646635
Management,administrative assistant,15,0.00019863866302937202
Detail Oriented,monitoring and evaluation officer,15,0.00019863866302937202
Truck Driving,promoter,15,0.00019863866302937202
English Language,application engineer,15,0.00019863866302937202
Corporate Tax,tax compliance officer,15,0.00019863866302937202
Finance,human resources officer,15,0.00019863866302937202
Microsoft Excel,administrative assistant,15,0.00019863866302937202
Writing,community development officer,15,0.00019863866302937202
Marketing,marketing assistant,15,0.00019863866302937202
Management,insurance product manager,15,0.00019863866302937202
Social Work,social entrepreneur,15,0.00019863866302937202
Writing,airport operations officer,15,0.00019863866302937202
Risk Control,tax compliance officer,15,0.00019863866302937202
English Language,secondary school teacher,15,0.00019863866302937202
Software Engineering,software developer,15,0.00019863866302937202
Generally Accepted Accounting Principles,accounting assistant,15,0.00019863866302937202
Data Analysis,tax compliance officer,15,0.00019863866302937202
Computer Literacy,logistics and distribution manager,15,0.00019863866302937202
Microsoft Excel,project support officer,15,0.00019863866302937202
Project Cycle Management,programme manager,15,0.00019863866302937202
Scalability,user interface developer,15,0.00019863866302937202
Communications,medical sales representative,15,0.00019863866302937202
Management,human resources manager,15,0.00019863866302937202
Extensible Markup Language (XML),software developer,15,0.00019863866302937202
Communications,receptionist,15,0.00019863866302937202
Web Services,software developer,15,0.00019863866302937202
English Language,financial auditor,15,0.00019863866302937202
Accountability,project support officer,15,0.00019863866302937202
Coordinating,grants management officer,15,0.00019863866302937202
Tax Shelter,tax compliance officer,15,0.00019863866302937202
Logistics Management,logistics and distribution manager,15,0.00019863866302937202
Web Development,software developer,15,0.00019863866302937202
Financial Systems,accountant,15,0.00019863866302937202
Problem Solving,financial manager,15,0.00019863866302937202
Decision Making,tax compliance officer,15,0.00019863866302937202
Operations,financial manager,15,0.00019863866302937202
Working Capital,tax compliance officer,15,0.00019863866302937202
Data Analysis,insurance product manager,15,0.00019863866302937202
Packaging And Labeling,promoter,15,0.00019863866302937202
Social Sciences,programme manager,15,0.00019863866302937202
Communications,application engineer,15,0.00019863866302937202
Innovation,public relations officer,15,0.00019863866302937202
Information Technology,accounting assistant,15,0.00019863866302937202
Angular (Web Framework),user interface developer,15,0.00019863866302937202
Operations,project manager,15,0.00019863866302937202
Model View Controller,software developer,15,0.00019863866302937202
Social Media,public relations manager,15,0.00019863866302937202
Communications,digital marketing manager,15,0.00019863866302937202
Finance,logistics and distribution manager,15,0.00019863866302937202
English Language,management assistant,14,0.00018539608549408056
Self-Motivation,accounting assistant,14,0.00018539608549408056
Environment Health And Safety,production engineer,14,0.00018539608549408056
Technology Entrepreneurship,race track operator,14,0.00018539608549408056
Business Administration,financial controller,14,0.00018539608549408056
Sales,business developer,14,0.00018539608549408056
Problem Solving,audit supervisor,14,0.00018539608549408056
Ability To Meet Deadlines,airport operations officer,14,0.00018539608549408056
Forecasting,project manager,14,0.00018539608549408056
Organizational Skills,accountant,14,0.00018539608549408056
Time Management,race track operator,14,0.00018539608549408056
Accountability,programme manager,14,0.00018539608549408056
English Language,quality engineer,14,0.00018539608549408056
English Language,hearse driver,14,0.00018539608549408056
Leadership,monitoring and evaluation officer,14,0.00018539608549408056
Machinery,promoter,14,0.00018539608549408056
Decision Making,food technician,14,0.00018539608549408056
Decision Making,financial manager,14,0.00018539608549408056
Human Resources Information System (HRIS),human resources officer,14,0.00018539608549408056
Organizational Learning,project manager,14,0.00018539608549408056
Theory of Change Development,project manager,14,0.00018539608549408056
Communications,emergency response coordinator,14,0.00018539608549408056
Operations,race track operator,14,0.00018539608549408056
Logistics,logistics analyst,14,0.00018539608549408056
Innovation,project support officer,14,0.00018539608549408056
Microsoft Excel,logistics analyst,14,0.00018539608549408056
English Language,race track operator,14,0.00018539608549408056
Analytical Skills,monitoring and evaluation officer,14,0.00018539608549408056
Progress Reporting,project support officer,14,0.00018539608549408056
Research,race track operator,14,0.00018539608549408056
Coordinating,race track operator,14,0.00018539608549408056
Program Management,programme manager,14,0.00018539608549408056
Microsoft Solutions Framework,interpreter,14,0.00018539608549408056
Analytical Skills,financial manager,14,0.00018539608549408056
Adobe InDesign,promoter,14,0.00018539608549408056
Production Line,promoter,14,0.00018539608549408056
Forecasting,accountant,14,0.00018539608549408056
Communications,race track operator,14,0.00018539608549408056
Microsoft Office,race track operator,14,0.00018539608549408056
Communications,customer service representative,14,0.00018539608549408056
Microsoft Office,monitoring and evaluation officer,14,0.00018539608549408056
Organizational Skills,race track operator,14,0.00018539608549408056
Sustainable Development,race track operator,14,0.00018539608549408056
English Language,communication manager,14,0.00018539608549408056
Innovation,race track operator,14,0.00018539608549408056
Regulatory Compliance,audit supervisor,14,0.00018539608549408056
Purchasing,logistics and distribution manager,14,0.00018539608549408056
