Green Occupations within the Energy Sector,Share of Green per Occupation,Share of Non-Green per Occupation,posts count
electric meter technician,48.175182481751825,51.82481751824818,137
commodity broker,48.148148148148145,51.85185185185185,27
electricity distribution technician,47.69230769230769,52.307692307692314,130
video and motion picture producer,47.61904761904761,52.38095238095239,21
carpenter,47.59036144578313,52.40963855421686,166
international student exchange coordinator,47.540983606557376,52.459016393442624,61
energy systems engineer,47.44186046511628,52.55813953488372,430
steward/stewardess,47.368421052631575,52.63157894736842,19
telephone switchboard operator,47.368421052631575,52.63157894736842,38
household appliances repair technician,47.22222222222222,52.77777777777778,144
filament winding operator,47.05882352941176,52.94117647058824,34
kitchen assistant,46.909090909090914,53.090909090909086,275
head of higher education institutions,46.875,53.125,32
chemistry technician,46.71052631578947,53.289473684210535,152
thermal engineer,46.666666666666664,53.333333333333336,60
seismologist,46.666666666666664,53.333333333333336,15
facilities manager,46.543209876543216,53.456790123456784,810
dismantling supervisor,46.42857142857143,53.57142857142857,56
building inspector,46.34146341463415,53.65853658536586,82
back office specialist,46.34146341463415,53.65853658536586,41
extra,46.2962962962963,53.70370370370371,54
electrical drafter,46.15384615384615,53.84615384615385,65
career guidance advisor,46.15384615384615,53.84615384615385,78
product development engineering drafter,45.94594594594595,54.054054054054056,37
mobility services manager,45.94594594594595,54.054054054054056,37
solid waste operator,45.83333333333333,54.166666666666664,24
water systems engineering technician,45.63106796116505,54.36893203883495,103
chemical application specialist,45.5026455026455,54.4973544973545,189
fuel station manager,45.49180327868852,54.50819672131148,244
airport planning engineer,45.45454545454545,54.54545454545454,66
"agricultural raw materials, seeds and animal feeds distribution manager",45.45454545454545,54.54545454545454,11
microsystem engineering technician,45.45454545454545,54.54545454545454,55
games development manager,45.45454545454545,54.54545454545454,22
travel consultant,45.45454545454545,54.54545454545454,33
chemical production manager,45.33333333333333,54.666666666666664,150
rooms division manager,45.09803921568628,54.90196078431373,51
gas transmission system operator,45.09803921568628,54.90196078431373,51
analytical chemist,45.07042253521127,54.929577464788736,71
chemical plant manager,45.04132231404959,54.958677685950406,242
optical instrument repairer,45.0,55.00000000000001,20
building materials shop manager,44.927536231884055,55.072463768115945,69
performance lighting technician,44.827586206896555,55.172413793103445,58
geological engineer,44.54277286135693,55.45722713864307,339
emergency response worker,44.44444444444444,55.55555555555556,18
stage technician,44.44444444444444,55.55555555555556,18
technical sales representative in agricultural machinery and equipment,44.44444444444444,55.55555555555556,27
textile operations manager,44.44444444444444,55.55555555555556,18
railway station manager,44.44444444444444,55.55555555555556,18
chemical engineering technician,44.44444444444444,55.55555555555556,45
hydrographic surveyor,44.44444444444444,55.55555555555556,36
geotechnician,44.44444444444444,55.55555555555556,45
motor vehicle assembler,44.44444444444444,55.55555555555556,9
lean manager,44.44444444444444,55.55555555555556,45
wood and construction materials distribution manager,44.44444444444444,55.55555555555556,9
engine minder,44.44444444444444,55.55555555555556,18
mine manager,44.13793103448276,55.86206896551724,145
chemical tester,44.0,56.00000000000001,25
agricultural engineer,44.0,56.00000000000001,25
property acquisitions manager,43.956043956043956,56.043956043956044,91
earth science lecturer,43.83561643835616,56.16438356164384,73
mechatronics engineer,43.776824034334766,56.22317596566524,233
