Green Occupations within the Energy Sector,Share of Green per Occupation,Share of Non-Green per Occupation,posts count
car and van delivery driver,1.5966386554621848,98.40336134453781,1190
eBusiness manager,1.4925373134328357,98.50746268656717,67
vehicle rental agent,1.4705882352941175,98.52941176470588,68
visual merchandiser,1.3888888888888888,98.61111111111111,72
cargo vehicle driver,1.2072434607645874,98.79275653923541,994
search engine optimisation expert,0.9615384615384616,99.03846153846155,104
private chauffeur,0.904977375565611,99.09502262443439,221
light board operator,0.7730147575544624,99.22698524244554,1423
motorcycle delivery person,0.7518796992481203,99.24812030075188,133
excavator operator,0.6369426751592357,99.36305732484077,157
bus driver,0.6329113924050633,99.36708860759494,158
sporting and outdoor accessories shop manager,0.5524861878453038,99.4475138121547,181
moving truck driver,0.5443234836702955,99.4556765163297,1286
membership manager,0.0,100.0,15
special-interest groups' official,0.0,100.0,4
body artist,0.0,100.0,1
thread rolling machine operator,0.0,100.0,2
railway passenger service agent,0.0,100.0,12
steeplejack,0.0,100.0,1
fisheries master,0.0,100.0,2
delicatessen shop manager,0.0,100.0,1
train driver,0.0,100.0,1
special effects artist,0.0,100.0,1
leather goods manufacturing technician,0.0,100.0,7
gate guard,0.0,100.0,26
animal facility manager,0.0,100.0,4
wooden furniture machine operator,0.0,100.0,1
stage manager,0.0,100.0,4
glass-blower,0.0,100.0,1
furniture designer,0.0,100.0,7
epidemiologist,0.0,100.0,8
justice of the peace,0.0,100.0,3
photography teacher,0.0,100.0,3
medical transcriptionist,0.0,100.0,2
flexographic press operator,0.0,100.0,1
occupational therapy assistant,0.0,100.0,11
postman/postwoman,0.0,100.0,14
textile colourist,0.0,100.0,1
choreologist,0.0,100.0,2
scopist,0.0,100.0,14
projectionist,0.0,100.0,5
costume maker,0.0,100.0,1
animal groomer,0.0,100.0,1
diet cook,0.0,100.0,3
photographic developer,0.0,100.0,1
oilseed presser,0.0,100.0,4
straightening machine operator,0.0,100.0,4
tool grinder,0.0,100.0,8
gaming inspector,0.0,100.0,2
watches and jewellery distribution manager,0.0,100.0,1
visual arts teacher,0.0,100.0,4
precious stone cutter,0.0,100.0,1
paper engineer,0.0,100.0,1
fashion designer,0.0,100.0,60
recreation policy officer,0.0,100.0,1
foster care support worker,0.0,100.0,1
social security officer,0.0,100.0,4
import export specialist in wood and construction materials,0.0,100.0,2
plastering supervisor,0.0,100.0,1
tourist guide,0.0,100.0,35
green coffee buyer,0.0,100.0,1
shotfirer,0.0,100.0,9
colour sampling technician,0.0,100.0,11
singer,0.0,100.0,2
textile machinery technician,0.0,100.0,4
shiatsu practitioner,0.0,100.0,3
knitter,0.0,100.0,4
voice-over artist,0.0,100.0,2
organ builder,0.0,100.0,1
brush maker,0.0,100.0,2
mechanical forging press worker,0.0,100.0,1
brew house operator,0.0,100.0,1
honey extractor,0.0,100.0,1
"wholesale merchant in machinery, industrial equipment, ships and aircraft",0.0,100.0,1
production potter,0.0,100.0,1
make-up artist,0.0,100.0,59
history lecturer,0.0,100.0,1
"import export specialist in hardware, plumbing and heating equipment",0.0,100.0,6
clay kiln burner,0.0,100.0,3
education studies lecturer,0.0,100.0,2
weaving machine operator,0.0,100.0,1
dismantling engineer,0.0,100.0,19
recording studio technician,0.0,100.0,3
leather goods machine operator,0.0,100.0,1
decksman,0.0,100.0,6
print studio supervisor,0.0,100.0,1
clothing CAD technician,0.0,100.0,7
envelope maker,0.0,100.0,1
hospital social worker,0.0,100.0,1
bulk filler,0.0,100.0,4
loan officer,0.0,100.0,8
clay products dry kiln operator,0.0,100.0,1
music and video shop specialised seller,0.0,100.0,2
rubber dipping machine operator,0.0,100.0,1
refuse collector,0.0,100.0,5
script supervisor,0.0,100.0,1
belt builder,0.0,100.0,1
scraper operator,0.0,100.0,4
level crossing signalperson,0.0,100.0,3
massage therapist,0.0,100.0,20
extrusion machine operator,0.0,100.0,2
foreign exchange trader,0.0,100.0,49
tower crane operator,0.0,100.0,20
metal sawing machine operator,0.0,100.0,4
cabinet maker,0.0,100.0,5
hardware and paint specialised seller,0.0,100.0,3
set builder,0.0,100.0,2
medical laboratory technology vocational teacher,0.0,100.0,2
volunteer mentor,0.0,100.0,4
psychic,0.0,100.0,2
meat and products shop manager,0.0,100.0,5
foundry operative,0.0,100.0,2
wholesale merchant in electronic and telecommunications equipment parts,0.0,100.0,1
"agriculture, forestry and fishery vocational teacher",0.0,100.0,1
cider master,0.0,100.0,1
live animal transporter,0.0,100.0,3
hospital porter,0.0,100.0,9
water jet cutter operator,0.0,100.0,8
philosophy lecturer,0.0,100.0,6
press and stationery specialised seller,0.0,100.0,14
man-made fiber spinner,0.0,100.0,1
pyrotechnician,0.0,100.0,7
roofing supervisor,0.0,100.0,4
dredge operator,0.0,100.0,2
digital printer,0.0,100.0,9
residential care home worker,0.0,100.0,1
smart home installer,0.0,100.0,1
journalism lecturer,0.0,100.0,2
performance video designer,0.0,100.0,9
beverages distribution manager,0.0,100.0,18
park guide,0.0,100.0,6
typist,0.0,100.0,8
doorman/doorwoman,0.0,100.0,1
animator,0.0,100.0,8
automated cable vehicle controller,0.0,100.0,3
"coffee, tea, cocoa and spices distribution manager",0.0,100.0,4
numerical tool and process control programmer,0.0,100.0,5
printmaker,0.0,100.0,2
adult literacy teacher,0.0,100.0,5
meat and products specialised seller,0.0,100.0,3
surface miner,0.0,100.0,2
soap maker,0.0,100.0,1
leather goods manual operator,0.0,100.0,2
food service worker,0.0,100.0,18
food service vocational teacher,0.0,100.0,1
venue programmer,0.0,100.0,1
government minister,0.0,100.0,11
optician,0.0,100.0,2
bricklayer,0.0,100.0,3
prosthetic-orthotics technician,0.0,100.0,1
rolling stock assembly inspector,0.0,100.0,2
printed circuit board test technician,0.0,100.0,21
pilates teacher,0.0,100.0,4
textile process controller,0.0,100.0,5
cylindrical grinder operator,0.0,100.0,1
crisis helpline operator,0.0,100.0,5
prepared meals nutritionist,0.0,100.0,2
clothing and footwear distribution manager,0.0,100.0,26
hot foil operator,0.0,100.0,1
autonomous driving specialist,0.0,100.0,6
business studies and economics teacher secondary school,0.0,100.0,6
drug and alcohol addiction counsellor,0.0,100.0,1
foreign exchange broker,0.0,100.0,7
wholesale merchant in dairy products and edible oils,0.0,100.0,2
chromatographer,0.0,100.0,4
import export specialist in machine tools,0.0,100.0,1
history teacher secondary school,0.0,100.0,11
Freinet school teacher,0.0,100.0,2
dog trainer,0.0,100.0,2
toys and games specialised seller,0.0,100.0,1
amusement and recreation attendant,0.0,100.0,4
music instructor,0.0,100.0,1
sound designer,0.0,100.0,2
child care social worker,0.0,100.0,2
food and beverage packaging technologist,0.0,100.0,1
private detective,0.0,100.0,2
motor vehicle upholsterer,0.0,100.0,2
textile specialised seller,0.0,100.0,4
astrologer,0.0,100.0,1
pill maker operator,0.0,100.0,5
slitter operator,0.0,100.0,1
physiologist,0.0,100.0,18
gaming dealer,0.0,100.0,4
ICT integration tester,0.0,100.0,8
building exterior cleaner,0.0,100.0,1
prison instructor,0.0,100.0,17
beauty salon attendant,0.0,100.0,13
wholesale merchant in textile industry machinery,0.0,100.0,2
wood assembly supervisor,0.0,100.0,3
"import export manager in mining, construction and civil engineering machinery",0.0,100.0,3
taxi driver,0.0,100.0,23
academic support officer,0.0,100.0,6
minister of religion,0.0,100.0,1
material stress analyst,0.0,100.0,30
shipbroker,0.0,100.0,16
groundsman/groundswoman,0.0,100.0,4
sport administrator,0.0,100.0,2
stunt performer,0.0,100.0,2
leather goods finishing operator,0.0,100.0,4
life guard,0.0,100.0,4
leather raw materials purchasing manager,0.0,100.0,4
pesticides sprayer,0.0,100.0,2
migrant social worker,0.0,100.0,4
prop maker,0.0,100.0,2
auctioneer,0.0,100.0,3
perfume production machine operator,0.0,100.0,5
resilient floor layer,0.0,100.0,1
train dispatcher,0.0,100.0,7
motorcycle assembler,0.0,100.0,3
artistic director,0.0,100.0,1
blow moulding machine operator,0.0,100.0,6
bathroom fitter,0.0,100.0,12
nonwoven textile technician,0.0,100.0,2
footwear product developer,0.0,100.0,9
plasterer,0.0,100.0,3
audiology technician,0.0,100.0,7
rail logistics coordinator,0.0,100.0,2
passport officer,0.0,100.0,2
"import export manager in machinery, industrial equipment, ships and aircraft",0.0,100.0,20
vocational teacher,0.0,100.0,12
shoe and leather accessories shop manager,0.0,100.0,7
footwear product development manager,0.0,100.0,13
precast moulder,0.0,100.0,3
import export manager in electrical household appliances,0.0,100.0,3
marine firefighter,0.0,100.0,3
specialist dentist,0.0,100.0,2
computer software and multimedia shop manager,0.0,100.0,4
street food vendor,0.0,100.0,11
wood boring machine operator,0.0,100.0,2
wholesale merchant in perfume and cosmetics,0.0,100.0,1
footwear assembly supervisor,0.0,100.0,2
fireplace installer,0.0,100.0,4
medical records clerk,0.0,100.0,2
second-hand shop manager,0.0,100.0,1
tram driver,0.0,100.0,2
hairdressing vocational teacher,0.0,100.0,1
audiology equipment shop manager,0.0,100.0,5
made-up textile articles manufacturer,0.0,100.0,2
dry press operator,0.0,100.0,2
electromechanical drafter,0.0,100.0,10
choreographer,0.0,100.0,7
cabin crew instructor,0.0,100.0,5
import export specialist in electronic and telecommunications equipment,0.0,100.0,13
wholesale merchant in flowers and plants,0.0,100.0,1
wearing apparel patternmaker,0.0,100.0,1
imagesetter,0.0,100.0,2
import export manager in dairy products and edible oils,0.0,100.0,2
driving instructor,0.0,100.0,36
cigar brander,0.0,100.0,1
companion,0.0,100.0,2
marine painter,0.0,100.0,6
plastic heat treatment equipment operator,0.0,100.0,12
fisheries assistant engineer,0.0,100.0,6
broadcast technician,0.0,100.0,23
surface-mount technology machine operator,0.0,100.0,4
leather goods artisanal worker,0.0,100.0,1
betting manager,0.0,100.0,3
candle maker,0.0,100.0,1
business and marketing vocational teacher,0.0,100.0,6
nonwoven filament machine operator,0.0,100.0,2
harvest diver,0.0,100.0,1
followspot operator,0.0,100.0,2
crowd controller,0.0,100.0,5
sugar refinery operator,0.0,100.0,4
public employment service manager,0.0,100.0,10
metal planer operator,0.0,100.0,3
barber,0.0,100.0,4
knitting machine operator,0.0,100.0,1
freight inspector,0.0,100.0,12
aircraft engine tester,0.0,100.0,1
"rental service representative in other machinery, equipment and tangible goods",0.0,100.0,6
arts education officer,0.0,100.0,1
specialised veterinarian,0.0,100.0,3
enameller,0.0,100.0,57
boatswain,0.0,100.0,3
head sommelier,0.0,100.0,19
clothing operations manager,0.0,100.0,7
physical education teacher secondary school,0.0,100.0,30
air traffic instructor,0.0,100.0,12
palaeontologist,0.0,100.0,4
hand lasting operator,0.0,100.0,3
dairy products maker,0.0,100.0,2
lexicographer,0.0,100.0,1
swimming teacher,0.0,100.0,3
precious stone setter,0.0,100.0,1
clothing specialised seller,0.0,100.0,40
industrial mobile devices software developer,0.0,100.0,7
spinning textile technician,0.0,100.0,1
assistant stage director,0.0,100.0,2
school bus attendant,0.0,100.0,10
beverages shop manager,0.0,100.0,7
nailing machine operator,0.0,100.0,3
leather laboratory technician,0.0,100.0,2
music teacher secondary school,0.0,100.0,1
employee volunteering programme coordinator,0.0,100.0,2
credit adviser,0.0,100.0,1
casino cashier,0.0,100.0,1
flower and garden specialised seller,0.0,100.0,3
desktop publisher,0.0,100.0,3
assayer,0.0,100.0,2
road roller operator,0.0,100.0,12
fashion model,0.0,100.0,14
bicycle mechanic,0.0,100.0,212
animal care attendant,0.0,100.0,1
coquille casting worker,0.0,100.0,7
ammunition shop manager,0.0,100.0,1
big data archive librarian,0.0,100.0,6
optical instrument production supervisor,0.0,100.0,20
musician,0.0,100.0,2
automated optical inspection operator,0.0,100.0,2
care at home worker,0.0,100.0,5
horse riding instructor,0.0,100.0,4
"import export specialist in agricultural raw materials, seeds and animal feeds",0.0,100.0,2
literature teacher at secondary school,0.0,100.0,5
parking valet,0.0,100.0,8
consumer rights advisor,0.0,100.0,4
loss adjuster,0.0,100.0,9
artisan papermaker,0.0,100.0,2
"sugar, chocolate and sugar confectionery distribution manager",0.0,100.0,5
oil rig motorhand,0.0,100.0,23
footwear production manager,0.0,100.0,10
consultant social worker,0.0,100.0,2
elderly home manager,0.0,100.0,7
braiding textile technician,0.0,100.0,24
import export specialist in household goods,0.0,100.0,12
life coach,0.0,100.0,2
fisheries boatmaster,0.0,100.0,22
data entry supervisor,0.0,100.0,64
wood fuel pelletiser,0.0,100.0,5
import export specialist in electrical household appliances,0.0,100.0,2
clinical informatics manager,0.0,100.0,8
lifeguard instructor,0.0,100.0,2
automotive brake technician,0.0,100.0,15
bulldozer operator,0.0,100.0,6
advertising installer,0.0,100.0,4
motorcycle instructor,0.0,100.0,30
sporting accessories specialised seller,0.0,100.0,14
taxi controller,0.0,100.0,18
weather forecaster,0.0,100.0,1
production plant crane operator,0.0,100.0,44
animal feed operator,0.0,100.0,4
interior landscaper,0.0,100.0,7
tobacco shop manager,0.0,100.0,1
confectioner,0.0,100.0,1
container crane operator,0.0,100.0,11
coffee roaster,0.0,100.0,3
medical records manager,0.0,100.0,3
rental service representative in recreational and sports goods,0.0,100.0,2
motor vehicle engine tester,0.0,100.0,15
zookeeper,0.0,100.0,1
book publisher,0.0,100.0,1
biotechnical technician,0.0,100.0,2
fish cook,0.0,100.0,1
wholesale merchant in tobacco products,0.0,100.0,1
jeweller,0.0,100.0,3
pile driving hammer operator,0.0,100.0,24
tissue paper perforating and rewinding operator,0.0,100.0,3
cider fermentation operator,0.0,100.0,1
3D animator,0.0,100.0,1
graphologist,0.0,100.0,5
leather goods CAD patternmaker,0.0,100.0,6
polygraph examiner,0.0,100.0,6
boom operator,0.0,100.0,44
import export manager in wood and construction materials,0.0,100.0,3
chaplain,0.0,100.0,1
footwear quality control laboratory technician,0.0,100.0,1
ground steward/ground stewardess,0.0,100.0,2
property appraiser,0.0,100.0,1
physics teacher secondary school,0.0,100.0,7
train cleaner,0.0,100.0,3
underground miner,0.0,100.0,5
furniture specialised seller,0.0,100.0,2
refuse vehicle driver,0.0,100.0,12
distillery miller,0.0,100.0,1
raw material reception operator,0.0,100.0,8
child day care worker,0.0,100.0,2
ceramic painter,0.0,100.0,3
geography teacher secondary school,0.0,100.0,11
idiophone musical instruments maker,0.0,100.0,9
orthopaedic supply shop manager,0.0,100.0,1
homologation engineer,0.0,100.0,3
mine ventilation engineer,0.0,100.0,4
bookshop specialised seller,0.0,100.0,1
wood router operator,0.0,100.0,1
grader operator,0.0,100.0,4
hunter,0.0,100.0,1
wholesale merchant in clothing and footwear,0.0,100.0,1
librarian,0.0,100.0,7
law lecturer,0.0,100.0,17
stop-motion animator,0.0,100.0,4
religious education teacher at secondary school,0.0,100.0,1
precision instrument assembler,0.0,100.0,9
shoe and leather accessories specialised seller,0.0,100.0,5
cytology screener,0.0,100.0,4
pedicurist,0.0,100.0,4
car leasing agent,0.0,100.0,24
post-production supervisor,0.0,100.0,4
radio producer,0.0,100.0,4
hand packer,0.0,100.0,3
manicurist,0.0,100.0,35
tourist information officer,0.0,100.0,1
drapery and carpet cleaner,0.0,100.0,1
optometrist,0.0,100.0,10
footwear factory warehouse operator,0.0,100.0,2
foreign correspondent,0.0,100.0,8
"import export manager in agricultural raw materials, seeds and animal feeds",0.0,100.0,1
radiographer,0.0,100.0,8
broadcast news editor,0.0,100.0,10
eyewear and optical equipment specialised seller,0.0,100.0,1
forwarding manager,0.0,100.0,11
airspace manager,0.0,100.0,5
homeopath,0.0,100.0,2
footwear production supervisor,0.0,100.0,7
gemmologist,0.0,100.0,8
front of house manager,0.0,100.0,5
chilling operator,0.0,100.0,6
screw machine operator,0.0,100.0,4
fruit and vegetables distribution manager,0.0,100.0,8
green coffee coordinator,0.0,100.0,1
art model,0.0,100.0,2
headteacher,0.0,100.0,5
metallurgist,0.0,100.0,3
poultry breeder,0.0,100.0,2
blacksmith,0.0,100.0,7
cartoonist,0.0,100.0,1
audio and video equipment shop manager,0.0,100.0,5
linguist,0.0,100.0,18
flight attendant,0.0,100.0,1
anodising machine operator,0.0,100.0,2
embassy counsellor,0.0,100.0,5
leather goods quality manager,0.0,100.0,10
cartographer,0.0,100.0,7
nitroglycerin separator operator,0.0,100.0,1
policy manager,0.0,100.0,8
optical technician,0.0,100.0,14
co-pilot,0.0,100.0,13
shoemaker,0.0,100.0,1
investment fund manager,0.0,100.0,4
clothing CAD patternmaker,0.0,100.0,1
aircraft pilot,0.0,100.0,11
press and stationery shop manager,0.0,100.0,4
fibreglass machine operator,0.0,100.0,1
screen making technician,0.0,100.0,6
chief conductor,0.0,100.0,8
property insurance underwriter,0.0,100.0,2
mattress maker,0.0,100.0,1
modern languages lecturer,0.0,100.0,3
floor and wall coverings specialised seller,0.0,100.0,1
member of parliament,0.0,100.0,1
goldsmith,0.0,100.0,1
import export manager in waste and scrap,0.0,100.0,1
fat-purification worker,0.0,100.0,1
airport baggage handler,0.0,100.0,1
textile designer,0.0,100.0,6
fish trimmer,0.0,100.0,1
Steiner school teacher,0.0,100.0,1
hair removal technician,0.0,100.0,10
magazine editor,0.0,100.0,3
prop master/prop mistress,0.0,100.0,3
packaging and filling machine operator,0.0,100.0,6
doctors' surgery assistant,0.0,100.0,34
bee breeder,0.0,100.0,1
"import export manager in computers, computer peripheral equipment and software",0.0,100.0,2
Montessori school teacher,0.0,100.0,1
vessel engine tester,0.0,100.0,14
dental practitioner,0.0,100.0,9
metal furniture machine operator,0.0,100.0,2
furniture upholsterer,0.0,100.0,3
mental health support worker,0.0,100.0,9
stevedore,0.0,100.0,2
cosmetics production machine operator,0.0,100.0,4
"import export specialist in fish, crustaceans and molluscs",0.0,100.0,1
tanning consultant,0.0,100.0,4
mobile phone repair technician,0.0,100.0,7
futures trader,0.0,100.0,9
photographic equipment assembler,0.0,100.0,1
delicatessen specialised seller,0.0,100.0,2
farrier,0.0,100.0,1
herbal therapist,0.0,100.0,6
lottery manager,0.0,100.0,2
railway sales agent,0.0,100.0,2
import export specialist in textiles and textile semi-finished raw materials,0.0,100.0,1
secondary school teaching assistant,0.0,100.0,3
anthropologist,0.0,100.0,4
foreign language correspondence clerk,0.0,100.0,12
tyre fitter,0.0,100.0,5
tyre builder,0.0,100.0,11
moulding machine operator,0.0,100.0,8
psychologist,0.0,100.0,2
microelectronics designer,0.0,100.0,5
cutting machine operator,0.0,100.0,13
digital games tester,0.0,100.0,1
pultrusion machine operator,0.0,100.0,5
cosmetic chemist,0.0,100.0,2
home care aide,0.0,100.0,1
sound artist,0.0,100.0,5
armoured car driver,0.0,100.0,4
laser marking machine operator,0.0,100.0,7
door installer,0.0,100.0,6
rental manager,0.0,100.0,7
religious studies lecturer,0.0,100.0,9
spring maker,0.0,100.0,1
fire commissioner,0.0,100.0,8
wholesale merchant in electrical household appliances,0.0,100.0,3
textile shop manager,0.0,100.0,1
botanist,0.0,100.0,8
linguistics lecturer,0.0,100.0,3
kitchen porter,0.0,100.0,27
podiatrist,0.0,100.0,1
second-hand goods specialised seller,0.0,100.0,1
tobacco specialised seller,0.0,100.0,1
upsetting machine operator,0.0,100.0,2
coastguard watch officer,0.0,100.0,5
mayor,0.0,100.0,2
glass polisher,0.0,100.0,2
silversmith,0.0,100.0,6
employment support worker,0.0,100.0,9
animal embryo transfer technician,0.0,100.0,1
import export specialist in china and other glassware,0.0,100.0,3
ICT documentation manager,0.0,100.0,5
wholesale merchant in agricultural machinery and equipment,0.0,100.0,3
optomechanical engineer,0.0,100.0,1
proofreader,0.0,100.0,8
design and applied arts vocational teacher,0.0,100.0,12
asbestos abatement worker,0.0,100.0,7
house builder,0.0,100.0,2
toys and games shop manager,0.0,100.0,3
fact checker,0.0,100.0,3
leather goods quality control laboratory technician,0.0,100.0,1
nanoengineer,0.0,100.0,1
wood painter,0.0,100.0,1
critic,0.0,100.0,5
modern languages teacher secondary school,0.0,100.0,1
artistic coach,0.0,100.0,1
performance video operator,0.0,100.0,5
behavioural scientist,0.0,100.0,10
theatre technician,0.0,100.0,2
camera operator,0.0,100.0,12
immunologist,0.0,100.0,27
youth offending team worker,0.0,100.0,2
hairdresser assistant,0.0,100.0,2
drama teacher secondary school,0.0,100.0,1
metal rolling mill operator,0.0,100.0,10
tailor,0.0,100.0,8
pyrotechnic designer,0.0,100.0,1
civil registrar,0.0,100.0,19
beauty vocational teacher,0.0,100.0,12
stagehand,0.0,100.0,1
rubber products machine operator,0.0,100.0,4
blanching operator,0.0,100.0,2
boring machine operator,0.0,100.0,2
farm milk controller,0.0,100.0,1
chipper operator,0.0,100.0,2
art studies lecturer,0.0,100.0,2
wholesale merchant in meat and products,0.0,100.0,1
furniture assembler,0.0,100.0,5
conceptual artist,0.0,100.0,13
"import export specialist in furniture, carpets and lighting equipment",0.0,100.0,10
door supervisor,0.0,100.0,3
metal engraver,0.0,100.0,1
pig breeder,0.0,100.0,2
stone engraver,0.0,100.0,1
spot welder,0.0,100.0,88
fish and seafood specialised seller,0.0,100.0,2
clothing technologist,0.0,100.0,2
laminating machine operator,0.0,100.0,3
pharmacy lecturer,0.0,100.0,2
leather goods warehouse operator,0.0,100.0,2
embroidery machine operator,0.0,100.0,1
rental service representative in agricultural machinery and equipment,0.0,100.0,5
audiology equipment specialised seller,0.0,100.0,1
escort,0.0,100.0,5
orthopaedic footwear technician,0.0,100.0,1
pet and food specialised seller,0.0,100.0,1
fish canning operator,0.0,100.0,2
veneer grader,0.0,100.0,1
dairy processing technician,0.0,100.0,6
hospital pharmacist,0.0,100.0,4
crosscut saw operator,0.0,100.0,1
fitter and turner,0.0,100.0,22
performing arts school dance instructor,0.0,100.0,1
social pedagogue,0.0,100.0,5
laser beam welder,0.0,100.0,3
court administrative officer,0.0,100.0,1
braiding machine operator,0.0,100.0,1
cooper,0.0,100.0,1
"import export specialist in sugar, chocolate and sugar confectionery",0.0,100.0,6
aviation surveillance and code coordination manager,0.0,100.0,7
motor vehicle engine inspector,0.0,100.0,10
fiberglass laminator,0.0,100.0,1
fortune teller,0.0,100.0,5
aquaculture husbandry manager,0.0,100.0,2
stone driller,0.0,100.0,9
laundry ironer,0.0,100.0,2
special educational needs teacher primary school,0.0,100.0,6
dairy processing operator,0.0,100.0,6
clothing shop manager,0.0,100.0,40
master coffee roaster,0.0,100.0,1
bank teller,0.0,100.0,1
collection manager,0.0,100.0,17
conveyance clerk,0.0,100.0,6
stock broker,0.0,100.0,8
spark erosion machine operator,0.0,100.0,6
sauce production operator,0.0,100.0,3
lottery operator,0.0,100.0,2
table saw operator,0.0,100.0,1
eyewear and optical equipment shop manager,0.0,100.0,1
"import export specialist in coffee, tea, cocoa and spices",0.0,100.0,2
anatomical pathology technician,0.0,100.0,5
lacquer spray gun operator,0.0,100.0,38
physiotherapist,0.0,100.0,9
bus driving instructor,0.0,100.0,1
record press operator,0.0,100.0,6
electronic musical instrument maker,0.0,100.0,8
textile machine operator,0.0,100.0,1
assistant clinical psychologist,0.0,100.0,3
crop production worker,0.0,100.0,4
consul,0.0,100.0,5
meat preparations operator,0.0,100.0,1
marriage counsellor,0.0,100.0,3
clothing fashion designer,0.0,100.0,16
stringed musical instrument maker,0.0,100.0,4
rubber cutting machine tender,0.0,100.0,3
sign maker,0.0,100.0,10
cosmetics and perfume specialised seller,0.0,100.0,41
air traffic controller,0.0,100.0,5
occupational driving instructor,0.0,100.0,10
optical instrument assembler,0.0,100.0,1
midwife,0.0,100.0,8
wholesale merchant in office machinery and equipment,0.0,100.0,1
front line medical receptionist,0.0,100.0,1
psychology lecturer,0.0,100.0,11
fundraising assistant,0.0,100.0,2
circus artist,0.0,100.0,8
aquaculture harvesting technician,0.0,100.0,2
storyboard artist,0.0,100.0,2
import export specialist in watches and jewellery,0.0,100.0,7
sheet metal worker,0.0,100.0,25
printing textile technician,0.0,100.0,1
import export specialist in meat and products,0.0,100.0,7
real estate investor,0.0,100.0,1
aquatic animal health professional,0.0,100.0,1
surface mine plant operator,0.0,100.0,2
art handler,0.0,100.0,2
wholesale merchant in metals and metal ores,0.0,100.0,6
leaf tier,0.0,100.0,1
textile quality manager,0.0,100.0,1
router operator,0.0,100.0,5
aircraft marshaller,0.0,100.0,5
literary scholar,0.0,100.0,2
leather goods quality technician,0.0,100.0,1
senator,0.0,100.0,1
casino gaming manager,0.0,100.0,3
plate glass installer,0.0,100.0,2
nanny,0.0,100.0,9
rolling stock assembler,0.0,100.0,1
ICT application developer,0.0,100.0,12
library manager,0.0,100.0,1
leather goods production supervisor,0.0,100.0,1
pottery and porcelain caster,0.0,100.0,1
newspaper editor,0.0,100.0,4
canvas goods assembler,0.0,100.0,2
biophysicist,0.0,100.0,5
traditional chinese medicine therapist,0.0,100.0,1
sociologist,0.0,100.0,2
printed circuit board designer,0.0,100.0,7
paper bag machine operator,0.0,100.0,2
chiropractor,0.0,100.0,2
prompter,0.0,100.0,4
armoured car guard,0.0,100.0,3
paperboard products assembler,0.0,100.0,1
wood production supervisor,0.0,100.0,1
early years teaching assistant,0.0,100.0,2
complementary therapist,0.0,100.0,5
coachbuilder,0.0,100.0,7
pharmacy assistant,0.0,100.0,2
edge bander operator,0.0,100.0,4
legislative drafter,0.0,100.0,1
tool and die maker,0.0,100.0,3
disc jockey,0.0,100.0,1
swaging machine operator,0.0,100.0,1
"textiles, textile semi-finished and raw materials distribution manager",0.0,100.0,3
hairdresser,0.0,100.0,4
paper mill supervisor,0.0,100.0,1
toxicologist,0.0,100.0,2
set buyer,0.0,100.0,7
wood treater,0.0,100.0,1
dental instrument assembler,0.0,100.0,5
social counsellor,0.0,100.0,4
usher,0.0,100.0,1
sewing machine operator,0.0,100.0,10
confectionery specialised seller,0.0,100.0,9
bicycle shop manager,0.0,100.0,24
fruit and vegetables shop manager,0.0,100.0,6
street warden,0.0,100.0,4
primary school teaching assistant,0.0,100.0,1
"import export specialist in computers, peripheral equipment and software",0.0,100.0,6
bicycle assembler,0.0,100.0,2
shoe repairer,0.0,100.0,1
kettle tender,0.0,100.0,3
wholesale merchant in machine tools,0.0,100.0,2
ICT accessibility tester,0.0,100.0,1
timber trader,0.0,100.0,21
drugstore manager,0.0,100.0,1
hair stylist,0.0,100.0,3
mine mechanical engineer,0.0,100.0,5
glass forming machine operator,0.0,100.0,4
biology teacher secondary school,0.0,100.0,5
chocolatier,0.0,100.0,1
standalone public buyer,0.0,100.0,6
oenologist,0.0,100.0,1
motion picture film developer,0.0,100.0,4
stage machinist,0.0,100.0,1
import export specialist in pharmaceutical goods,0.0,100.0,1
philosophy teacher secondary school,0.0,100.0,1
wood products assembler,0.0,100.0,2
babysitter,0.0,100.0,11
bioengineer,0.0,100.0,20
medical device assembler,0.0,100.0,3
textile finishing machine operator,0.0,100.0,2
civil drafter,0.0,100.0,17
auger press operator,0.0,100.0,3
china and glassware distribution manager,0.0,100.0,8
election observer,0.0,100.0,2
nuclear technician,0.0,100.0,8
jewellery and watches specialised seller,0.0,100.0,2
sorter labourer,0.0,100.0,49
pawnbroker,0.0,100.0,1
house sitter,0.0,100.0,32
rental service representative in personal and household goods,0.0,100.0,1
sewerage cleaner,0.0,100.0,2
court administrator,0.0,100.0,10
street performer,0.0,100.0,1
wholesale merchant,0.0,100.0,16
textile pattern making machine operator,0.0,100.0,1
ammunition assembler,0.0,100.0,4
tour operator representative,0.0,100.0,2
helmsman,0.0,100.0,1
pharmacologist,0.0,100.0,3
"furniture, carpets and lighting equipment distribution manager",0.0,100.0,8
kitchen unit installer,0.0,100.0,1
optical disc moulding machine operator,0.0,100.0,1
tour operator manager,0.0,100.0,2
import export manager in clothing and footwear,0.0,100.0,2
dental technician,0.0,100.0,11
truck driving instructor,0.0,100.0,8
capsule filling machine operator,0.0,100.0,1
tourist animator,0.0,100.0,2
sport therapist,0.0,100.0,1
foreign exchange cashier,0.0,100.0,1
